Company Name,Exchange,Ticker,IPO Date,Offer Price,"Gross Proceeds
 (USD in million)",Investment Banks Involved in the IPO,"Market Capitalization
at the IPO Date","Current Stock Price 
as of May 1, 2025","Current Stock Price 
as of June 2, 2025","Current Stock Price 
as of July 1, 2025",Therapeutic Sector,Lead Candidate Clinical Stage at Time of IPO,Modality / Target,Indication,Clinical Candidates' Current Stage
Aardvark Therapeutics,NASDAQ,AARD,2/13/2025,$16.00 ,$94.2 ,"Morgan Stanley
BofA Securities
Cantor Fitzgerald
RBC Capital Markets","$342,150,032 ",$11.33,$11.13,$13.56,Metabolic diseases,"ARD-101
: 3 (Prader-willi syndrome)",Targeting Bitter Taste Receptors (TAS2Rs),"Prader-Willi Syndrome (PWS)
Hypothalamic Obesity (HO)
Obesity and Obesity-Related Conditions","3
1
1"
Sionna Therapeutics,NASDAQ,SION,2/7/2025,$18.00 ,$191.0 ,"Goldman Sachs & Co. LLC
TD Cowen
Stifel
Guggenheim Securities","$733,607,928 ",$12.90,$13.97,$18.16,Cystic fibrosis,"SION-719 and SION-451
: 1 (Cystic fibrosis)",Restoring the function of the Cystic Fibrosis Transmembrane Conductance Regulator (CFTR) protein,Cystic Fibrosis,"1
2
1
1
2"
Maze Therapeutics,NASDAQ,MAZE,1/31/2025,$16.00 ,$140.0 ,"J.P. Morgan
TD Cowen
Leerink Partners
Guggenheim Securities","$685,231,648 ",$10.59,$12.10,$11.66,"Renal, cardiovascular and related metabolic diseases, including obesity","MZE829
: 2 (APOL1 kidney disease)","- MZE829: APOL1 inhibitor
- MZE782: SLC6A19 inhibitor","APOL1 kidney disease (AKD)
Chronic Kidney Disease (CKD)
Phenylketonuria (PKU)","2
1
1"
Metsera ,NASDAQ,MTSR,1/31/2025,$18.00 ,$275.0 ,"BofA Securities
Goldman Sachs & Co. LLC
Evercore ISI
Guggenheim Securities
Cantor Fitzgerald","$1,889,008,272 ",$23.36,$28.12,$26.88,Obesity and metabolic diseases,"MET-097i
: 1/2 (Obesity and overweight)",Injectable and oral Nutrient Stimulated Hormone (NuSH) analog peptides,Obesity and overweight,"2b
1
1"
Beta Bionics,NASDAQ,BBNX,1/30/2025,$17.00 ,$204.0 ,"BofA Securities
Piper Sandler
Leerink Partners
Stifel
Lake Street Capital Markets","$695,121,891 ",$11.14,$18.69,$13.94,Medical devices - diabetes,"iLet Bionic Pancreas
: Marketed (US launch December 18, 2023)",Glycated Hemoglobin (HbA1c) Level,Type 1 Diabetes,"Marketed (US launch December 18, 2023)"
Ascentage Pharma,NASDAQ,AAPG,1/24/2025,$17.25 ,$126.4 ,"J.P. Morgan
Citigroup","$1,483,303,372 ",$25.15,$25.22,$38.99,Hematological malignancies,"Olverembatinib
: 3 (Chronic myeloid leukemia)",Tyrosine Kinase Inhibitor (TKI); Bcl (B-cell lymphoma)-2 and Bcl-2/Bcl-xL inhibitors,"CML, Ph+ ALL and GIST
R/R CLL/SLL
CLL/SLL, AML, MDS and MM
ACC, MPNST, AML, MDS and Pediatric Solid Tumor
NSCLC, SCLS, Neuroendocrine Tumor and NHL
Anemia and Oncology
NSCLC/Solid Tumors","3
3
3
2
2
1
3"
Jupiter Neurosciences,NASDAQ,JUNS,12/3/2024,$4.00 ,$11.0 ,"Dominari Securities LLC
Revere Securities LLC","$131,505,652 ",$0.63,$0.82,$1.01,Neuroinflammation,"JOTROL
: 2 (Parkinson's Disease)",A resveratrol-based formulation used to treat neuroinflammation,"Parkinson's Disease
Alzheimer's Disease (AD)","2
1"
"eXoZymes
(Previously Invizyne Technologies at IPO, it rebranded on Feb. 12, 2025, to clarify their core technology and introduce exozymes as a new scientific concept that better represents its potential)",NASDAQ,"EXOZ
(IZTC)",11/13/2024,$8.00 ,$15.0 ,"MDB Capital
Cambria Capital LLC
Paulson Investment Company LLC","$65,018,792 ",$11.00,$13.50,$9.75,Biomanufacturing,n/a,Cell-free enzyme-based biomanufacturing,n/a,n/a
Septerna Therapeutics,NASDAQ,SEPN,10/25/2024,$18.00 ,$288.0 ,"J.P. Morgan
TD Cowen
Cantor Fitzgerald
Wells Fargo Securities","$743,050,296 ",$7.14,$9.93,$10.60,"Endocrinology, immunology and inflammation, and metabolic diseases","SEP-786
: 1 (Hypoparathyroidism) - discontinued due to severe (Grade 3) events in the MAD trial",G protein-coupled receptor (GPCR)-targeted small molecules,"Hypoparathyroidism
Chronic Spontaneous Urticaria (CSU)","IND-enabling
IND-enabling"
Upstream Bio,NASDAQ,UPB,10/11/2024,$17.00 ,$255.0 ,"J.P. Morgan
TD Cowen
Piper Sandler
William Blair","$830,308,815 ",$9.00,$10.66,$10.79,Inflammatory diseases,"Verekitug
: 2 (Severe asthma and chronic rhinosinusitis with nasal polyps",Monoclonal antibody binding to the Thymic Stromal Lymphopoietin (TSLP) receptor,"Severe Asthma
Chronic Rhinosinusitis with Nasal Polyps (CRSwNP)
Chronic Obstructive Pulmonary Disease (COPD)","2
2
1"
CAMP4 Therapeutics,NASDAQ,CAMP,10/11/2024,$11.00 ,$75.0 ,"J.P. Morgan
Leerink Partners
Piper Sandler
William Blair","$194,536,309 ",$1.88,$2.00,$1.35,Genetic diseases,"CMP-CPS-001
: 1 (Urea cycle disorders)",Regulatory RNA-targeting therapeutics,Urea Cycle Disorders (UCDs),1
BioAge Labs ,NASDAQ,BIOA,9/26/2024,$18.00 ,$198.0 ,"Goldman Sachs & Co.
Morgan Stanley
Jefferies
Citigroup","$606,009,312 ",$4.14,$4.05,$4.13,Metabolic diseases,"Azelaprag
: 2 (Obesity) - discontinued due to the elevated liver enzymes",Oral NLRP3 inhibitor,"Obesity
Obesity
Type 2 Diabetes","2
2
2"
Kairos Pharma,NYSE,KAPA,9/16/2024,$4.00 ,$6.2 ,"Boustead Securities, LLC
EF Hutton LLC
Sutter Securities, Inc.","$51,367,748 ",$0.79,$0.59,$0.70,Oncology,"ENV 105
: 1 (Lung cancer)/2 (Prostate cancer)",CD105 inhibitor,"Prostate cancer
NSCLC","2
1"
MBX Biosciences,NASDAQ,MBX,9/13/2024,$16.00 ,$163.2 ,"J.P. Morgan
Jefferies
Stifel
Guggenheim Securities","$482,459,168 ",$11.28,$13.14,$11.61,Endocrine and metabolic disorders,"Canvuparatide
: 2 (Hypoparathyroidism)",Precision Endocrine Peptides (PEPs),"Hypoparathyroidism
Postbariatric Hypoglycemia (PBH)","2
1"
Zenas BioPharma,NASDAQ,ZBIO,9/13/2024,$17.00 ,$225.0 ,"Morgan Stanley
Jefferies
Citigroup
Guggenheim Securities","$651,390,479 ",$11.56,$10.06,$9.14,Autoimmune disease,"Obexelimab
: 3 (Immunoglobulin-G4 related disease)",Bifunctional CD19/FcyRIIb antibody,"Immunoglobulin-G4 Related Disease (IgG4-RD)
Relapsing Multiple Sclerosis (RMS)
Systemic Lupus Erythematosus (SLE)","3
2
2"
Bicara Therapeutics,NASDAQ,BCAX,9/12/2024,$18.00 ,$315.0 ,"Morgan Stanley
TD Cowen
Cantor Fitzgerald
Stifel","$828,466,650 ",$14.71,$9.90,$9.46,Oncology,"Ficerafusp alfa
: 2/3 (Recurrent/metastatic head and neck squamous cell carcinoma)",Bifunctional EGFR/TGF-β antibody,"Recurrent/metastatic Head and Neck Squamous Cell Carcinoma (HNSCC)
Recurrent/metastatic Head and Neck Squamous Cell Carcinoma (HNSCC)
Advanced Squamous Cancer of the Anal Canal (SCAC)
Cutaneous Squamouse Cell Carcinoma (CSCC)","2/3
1/1b (dose expansion)
1/1b
1/1b"
Actuate Therapeutics,NASDAQ,ACTU,8/13/2024,$8.00 ,$22.4 ,"Titan Partners Group
Newbridge Securities Corporation","$153,327,496 ",$9.50,$10.59,$6.13,Oncology,"Elraglusib
: 2 (Metastatic pancreatic cancer)",Glycogen synthase kinase-3 beta (GSK-3β) inhibitor,"Untreated Metastatic Pancreatic Ductal Adenocarcinoma (mPDAC)
Metastatic Pancreatic Ductal Adenocarcinoma (mPDAC)
(Pediatric patients) Advanced Malignancies including Ewing Sarcoma (EWS)","2
2
1/2"
OS Therapies,NYSE,OSTX,8/1/2024,$4.00 ,$6.4 ,Brookline Capital Markets,"$93,035,540 ",$1.93,$1.56,$1.93,Oncology,"OST-HER2
: 2b (Osteosarcoma)",HER2 and tunable ADC (tADC) ,"Lung Metastatic Osteosarcoma
Breast Cancer & Other Solid Tumors","2b
2a"
Artiva Biotherapeutics,NASDAQ,ARTV,7/19/2024,$12.00 ,$167.0 ,"Jefferies
TD Cowen
Cantor Fitzgerald
Wedbush PacGrow
Needham & Company","$210,999,276 ",$2.37,$1.94,$1.53,Oncology and autoimmune diseases,"AlloNK
: 1/1b (Lupus nephritis and Investigator-initiated basket trial in multiple autoimmune indications)",NK cell-based therapy,"Lupus Nephritis or Refractory Systemic Lupus Erythematosus
Investigator-Initiated Basket Trial (IIT)
Relapsed/Refractory Non-Hodgkin Lymphoma
Recurrent or Refractory Hodgkin Lymphoma","1
1
1/2
2"
Alumis,NASDAQ,ALMS,6/28/2024,$16.00 ,$210.0 ,"Morgan Stanley
Leerink Partners
Cantor Fitzgerald
Guggenheim Securities","$901,915,664 ",$3.83,$3.29,$3.02,Immune-mediated diseases,"ESK-001
: 2 (Systemic lupus erythematosus)",TYK2 inhibitors,"Moderate-to-Severe Plaque Psoriasis
Systemic Lupus Erythematosus
Multiple Sclerosis","3
2
1"
Rapport Therapeutics,NASDAQ,RAPP,6/7/2024,$17.00 ,$136.0 ,"Goldman Sachs & Co. LLC
Jefferies
TD Cowen
Stifel","$601,399,769 ",$11.47,$9.40,$11.31,CNS disorders,"RAP-219
: 1 (Epilepsy)",RAP-219: AMPA receptor negative allosteric modulator,Refractory Focal Epilepsy,2a
Contineum Therapeutics,NASDAQ,CTNM,4/5/2024,$16.00 ,$110.0 ,"Goldman Sachs & Co. LLC
Morgan Stanley
Stifel
RBC Capital Markets","$432,892,640 ",$3.97,$4.43,$3.85,"NI&I (Neuroscience, inflammation and immunology)","PIPE-791
: 1 (Idiopathic pulmonary fibrosis and progressive multiple sclerosis)","- PIPE-791: LPA1 receptor antagonist
- PIPE-307: M1 receptor antagonist","Idiopathic Pulmonary Fibrosis (IPF)
Progressive Multiple Sclerosis (PrMS)
Relapsing-Remitting Multiple Sclerosis (RRMS) and Depression","1b
1b
2"
Boundless Bio,NASDAQ,BOLD,3/28/2024,$16.00 ,$100.0 ,"Goldman Sachs & Co. LLC
Leerink Partners
Piper Sandler
Guggenheim Securities","$355,829,328 ",$1.61,$1.13,$1.06,Oncology,"BBI-355
: 1/2 (Oncogene amplified cancers)",extrachromosomal DNA (ecDNA)-directed therapies,Locally Advanced or Metastatic Solid Tumors with Oncogene Amplifications,1/2
"Channel Therapeutics
(Previously Chromocell Therapeutics at IPO, it rebranded on Nov. 21, 2024, to emphasize its focus on sodium channel-based pain therapeutics)",NYSE,CHRO,2/16/2024,$6.00 ,$6.6 ,Alliance Global Partners,"$33,504,534 ",$1.25,$1.02,$1.35,Non-opioid pain management,"CC8464
: 1 (Erythromelalgia)",Modulating NaV1.7 (sodium ion-chnnel) receptors,Idiopathic Small Fiber Neuropahty (ISFN) and Erythromelalgia (EM),1
Metagenomi,NASDAQ,MGX,2/9/2024,$15.00 ,$93.8 ,"J.P. Morgan
Jefferies
TD Cowen
Wells Fargo Securities
BMO Capital Markets
Chardan","$562,915,425 ",$1.49,$1.76,$1.52,Metabolic/cardiovascular/CNS/renal and generic diseases,"Genome Editing Toolbox 
: Preclinical",Gene editing,Hemophilia A,Preclinical
Telomir Pharmaceuticals,NASDAQ,TELO,2/9/2024,$7.00 ,$7.0 ,Kingswood Capital Partners LLC,"$207,268,698 ",$2.51,$2.10,$1.27,Age-related disorders,"Telomir-1
: Preclinical",A metal ion regulator designed to lengthen the DNA's protective telomere caps,(Potential) Age-Related and Degenerative Diseases,Preclinical
Kyverna Therapeutics,NASDAQ,KYTX,2/8/2024,$22.00 ,$319.0 ,"J.P. Morgan
Morgan Stanley
Leerink Partners
Wells Fargo Securities","$898,095,550 ",$2.22,$2.65,$2.77,Autoimmune diseases,"KYV-101
: 1 (Rheumatology and neurology)",CAR T-cell therapy,"Stiff-Person Syndrome
Myasthenia Gravis 
Lupus Nephritis","2
2
1"
Alto Neuroscience,NYSE,ANRO,2/2/2024,$16.00 ,$128.6 ,"Jefferies
TD Cowen
Stifel
William Blair
Baird","$387,603,792 ",$2.45,$2.60,$2.22,Mental health disorders,"ALTO-100 and ALTO-300
: 2b (Major depressive disorder)","- ALTO-100: Modulating BDNF and its signaling
- ALTO-300: A melatonergic agonist and serotonergic antagonist","Bipolar Depression
Major Depressive Disorder (MDD)","2b
2b"
